,Team,SNo.,SGold,SSilver,SBronze,STotal,WNo.,WGold,WSilver,WBronze,WTotal,TNo.,TGold,TSilver,TBronze,TTotal
179,Chad,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
180,Comoros,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
181,Republic of the Congo,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
182,Democratic Republic of the Congo,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
183,Cook Islands,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
184,El Salvador,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
185,Eswatini,12,0,0,0,0,1,0,0,0,0,13,0,0,0,0
186,Equatorial Guinea,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
187,The Gambia,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
188,Guam,10,0,0,0,0,1,0,0,0,0,11,0,0,0,0
189,Guinea,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
190,Guinea-Bissau,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
191,Honduras,13,0,0,0,0,1,0,0,0,0,14,0,0,0,0
192,Kiribati,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0
193,Laos,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
194,Lesotho,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
195,Liberia,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
196,Libya,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
197,Madagascar,14,0,0,0,0,3,0,0,0,0,17,0,0,0,0
198,Malawi,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
199,Maldives,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
200,Mali,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0
201,Malta,18,0,0,0,0,3,0,0,0,0,21,0,0,0,0
202,Marshall Islands,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
203,Mauritania,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
204,Federated States of Micronesia,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0
205,Monaco,22,0,0,0,0,11,0,0,0,0,33,0,0,0,0
206,Myanmar,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0
207,Nauru,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
208,Nepal,15,0,0,0,0,4,0,0,0,0,19,0,0,0,0
209,Nicaragua,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
210,Oman,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
211,Palau,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0
212,Palestine,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
213,Papua New Guinea,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
214,Rwanda,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
215,Saint Kitts and Nevis,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
216,Saint Vincent and the Grenadines,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
217,São Tomé and Príncipe,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
218,Seychelles,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
219,Sierra Leone,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
220,Solomon Islands,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
221,Somalia,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
222,South Sudan,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
223,Timor-Leste,6,0,0,0,0,3,0,0,0,0,9,0,0,0,0
224,Tuvalu,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
225,Vanuatu,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
226,Yemen,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0
227,Korea,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
228,Malaya,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
229,North Borneo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230,Republic of China,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
231,Saar,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
232,North Yemen,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
233,South Yemen,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
